country,id,name_eng,name_kor,category,program_category,area,city,score,toeic,toefl_ibt,toefl_itp,ielts,hsk,jlpt,jpt,zd,delf,dele,celi,cils,celpebras,toefl_home,toefl_mbs,specification,lastvisit,toefl_itp_availability,toeic_availability,toefl_mbs
United States,E0001,"Colorado State University, Pueblo","콜로라도주립대, 푸에블로",자매대학,일반교환,na,"Pueblo, CO",,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
United States,E0002,Kennesaw State University,케네쏘주립대,자매대학,일반교환,na,"Kennesaw, GA",,,80,,6.5,,,,,,,,,,,TRUE,,,FALSE,FALSE,TRUE
United States,E0003,University of South Dakota,사우스다코다대,자매대학,일반교환,na,"Vermillion, SD",,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
United States,E0004,Northwest University,노쓰웨스트대,자매대학,일반교환,na,"Kirkland, WA",3.8,,80,,6.5,,,,,,,,,,,,,,FALSE,FALSE,
United States,E0005,The Florida State University,플로리다주립대,자매대학,일반교환,na,"Tallahassee, FL",,,80,,6.5,,,,,,,,,,,,,,FALSE,FALSE,
United States,E0006,The University of Oklahoma,오클라호마대,자매대학,일반교환,na,"Norman, OK",,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
United States,E0007,California Baptist University,CBU,자매대학,일반교환,na,"Riverside, CA",,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
Canada,E0008,Concordia University,컨커디어대,자매대학,일반교환,na,"Montreal, QC",3.3,,85,,6.5,,,,,,,,,,TRUE,,* TOEFL iBT 각 영역별 20 이상 ※ English Literature 학과: TOEFL iBT 110 이상 Journalism and Communication Studies 학과: TOEFL iBT 100 이상 * IELTS 각 영역 별 6.5 이상 필요,,FALSE,FALSE,
Canada,E0009,"Université du Québec, Montréal","퀘백대, 몬트리올",자매대학,일반교환,na,"Montreal, QC",,,,,,,,,,B2,,,,,,,,,,,
New Zealand,E0010,Auckland University of Technology,오클랜드공대,자매대학,일반교환,oceania,Auckland,,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
Greece,E0011,Athens University of Economics and Business,아테네경제경영대,자매대학,일반교환,europe,Athens,,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
Netherlands,E0012,Fontys University of Applied Sciences,폰티스대,자매대학,일반교환,europe,Eindhoven,,,80,,6,,,,,,,,,,TRUE,,,,FALSE,FALSE,
Netherlands,E0013,Hanze University of Applied Sciences,한제대,자매대학,일반교환,europe,Groningen,,785,72,,5.5,,,,,,,,,,,,,,,,
Netherlands,E0014,HZ University of Applied Sciences,HZ대,자매대학,일반교환,europe,Vlissingen,,800,80,,6,,,,,,,,,,FALSE,,,,FALSE,,
Netherlands,E0015,Radboud University,라드바우드대,자매대학,일반교환,europe,Nijmegen,,670,80,,6,,,,,,,,,,,,TOEIC: Reading/Listening 시험과 Speaking/Writing 시험 2가지를 모두 제출해야함,,,,
Netherlands,E0016,Saxion University of Applied Sciences,삭시온대,자매대학,일반교환,europe,Enschede,,670,80,,6,,,,,,,,,,TRUE,FALSE,,,,,FALSE
Netherlands,E0017,Tio University of Applied Sciences,티오대,자매대학,일반교환,europe,Amsterdam,,785,72,,5.5,,,,,,,,,,,,,,,,
Denmark,E0018,University College South Denmark,UCSD,자매대학,일반교환,europe,Esbjerg,,850,80,,6,,,,,,,,,,,,,,,,
Germany,E0019,Augsburg University of Applied Sciences,아우크스부르크대,자매대학,일반교환,europe,Augsburg,,785,72,,5.5,,,,B1,,,,,,,,,,,,
Germany,E0020,"Baden-Wuerttemberg Cooperative State
 University Heidenheim",DHBW,자매대학,일반교환,europe,Heidenheim,,785,72,,5.5,,,,,,,,,,,,,,,,
Germany,E0021,Darmstadt University of Applied Sciences,다름슈타트대,자매대학,일반교환,europe,Darmstadt,,785,72,,5.5,,,,B2,,,,,,,,,,,,
Germany,E0022,Dresden University of Applied Sciences,드레스덴대,자매대학,일반교환,europe,Dresden,,785,72,,5.5,,,,B1,,,,,,,,,,,,
Germany,E0023,TH Köln – University of Applied Sciences,쾰른대,자매대학,일반교환,europe,Cologne,,785,72,,5.5,,,,B1,,,,,,,,,,,,
Germany,E0024,Furtwangen University of Applied Sciences,푸르트방겐대,자매대학,일반교환,europe,Furtwangen,,,72,,5.5,,,,B1,,,,,,,,,,FALSE,FALSE,
Germany,E0025,Heinrich Heine University Dusseldorf,하인리히 하이네 뒤셀도르프대,자매대학,일반교환,europe,Dusseldorf,,785,72,,5.5,,,,B1,,,,,,,,,,,,
Germany,E0026,Hof University of Applied Sciences,호프대,자매대학,일반교환,europe,Hof,,,72,,5.5,,,,,,,,,,,,,,,FALSE,
Germany,E0027,Kaiserslautern University of Applied Sciences,카이저슬라우턴대,자매대학,일반교환,europe,Kaiserslautern,,850,80,,6,,,,B1,,,,,,,,,,,,
Germany,E0028,Regensburg University of Applied Sciences (OTH Regensburg),레겐스부르크대,자매대학,일반교환,europe,Regensburg,,800,75,,5.5,,,,B2,,,,,,,,,,,,
Germany,E0029,University of Braunschweig of Technology,브라운슈바이크공대,자매대학,일반교환,europe,Braunschweig,,,80,,5.5,,,,B2,,,,,,,,,,FALSE,FALSE,
Germany,E0030,Viadrina European University,비아드리나대,자매대학,일반교환,europe,Frankfurt,,785,72,,5.5,,,,B2,,,,,,,,,,,,
Germany,E0031,Worms University of Applied Sciences,보름스대,자매대학,일반교환,europe,Worms,,785,72,,5.5,,,,B1,,,,,,,,,,,,
Germany,E0032,Alice Salomon University of Applied Sciences,알리스살로몬대,자매대학,일반교환,europe,Berlin,,785,72,,5.5,,,,B1,,,,,,,,,,,,
Germany,E0033,Aachen University of Applied Sciences,아헨대,자매대학,일반교환,europe,Aachen,,700,60,,4.5,,,,B1,,,,,,,,,,,,
Germany,E0034,Leuphana University of Luneburg,로이파나대,자매대학,일반교환,europe,Lüneburg,,785,72,,5.5,,,,B1,,,,,,,,,,,,
Germany,E0035,Muenster University of Applied Sciences,뮌스터대,자매대학,일반교환,europe,Münster,,785,72,,5.5,,,,B1,,,,,,,,,,,,
Germany,E0036,Europa-Universitat Flensburg,플렌스부르크대,자매대학,일반교환,europe,Flensburg,,,76,,,,,,B2,,,,,,,,,,,,
Germany,E0037,University of Vechta,페히타대,자매대학,일반교환,europe,Vechta,,785,72,,5.5,,,,B2,,,,,,,,,,,,
Latvia,E0038,BA School of Business and Finance,BA 경영경제대,자매대학,일반교환,europe,Riga,,785,72,,5.5,,,,,,,,,,,,,,,,
Latvia,E0039,Liepaja University,리에파야대,자매대학,일반교환,europe,Liepāja,,800,75,,5.5,,,,,,,,,,,,,,,,
Russia,E0040,Moscow State University,모스크바대,자매대학,일반교환,europe,Moscow,,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
Russia,E0041,Rostov State University of Economics,로스토프경제대,자매대학,일반교환,europe,Rostov-on-Don,,800,75,,5.5,,,,,,,,,,,,,,,,
Russia,E0042,Ural Federal University,우랄연방대,자매대학,일반교환,europe,Yekaterinburg,,785,72,,,,,,,,,,,,,,IELTS 제외,,,FALSE,
Russia,E0043,University of Tyumen,튜멘대,자매대학,일반교환,europe,Tyumen,,785,72,,5.5,,,,,,,,,,,,,,,,
Russia,E0044,(Banzarov) Buryat State University,부랴트 국립대,자매대학,일반교환,europe,Ulan-Ude,,800,75,,5.5,,,,,,,,,,,,,,,,
Russia,E0045,Moscow State Linguistic University,국립 모스크바 외국어 대학교,자매대학,일반교환,europe,Moscow,,800,75,,5.5,,,,,,,,,,,,,,,,
Romania,E0046,Alexandru Ioan Cuza University,AICU,자매대학,일반교환,europe,Iasi,,785,72,,5.5,,,,,,,,,,,,,,FALSE,,
Romania,E0047,Lucian Blaga University of Sibiu,LBUS,자매대학,일반교환,europe,Sibiu,,850,80,,6,,,,,,,,,,,,,,,,
Lithuania,E0048,Vytautas Magnus University,비타우타스 매그너스대,자매대학,일반교환,europe,Kaunas,,800,75,,5.5,,,,,,,,,,,,,,,,
Belgium,E0049,University of Mons,몽스대,자매대학,일반교환,europe,Mons,,785,72,,5.5,,,,,B1,,,,,,,,,,,
Sweden,E0050,Umeå University,우메오대,자매대학,일반교환,europe,Umea,,,75,,5.5,,,,,,,,,,,,,,,FALSE,
Switzerland,E0051,Geneva School of Business Administration,제네바비즈니스스쿨,자매대학,일반교환,europe,Geneva,,785,72,,5.5,,,,,,,,,,,,,,FALSE,,
Spain,E0052,Polytechnic University of Catalonia,카탈루니야대,자매대학,일반교환,europe,Barcelona,,800,75,,5.5,,,,,,A2,,,,,,,,FALSE,,
Spain,E0053,Rey Juan Carlos University,레이후안카를로스대,자매대학,일반교환,europe,Madrid,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Spain,E0054,University Center for Technology and Digital Art,U-tad,자매대학,일반교환,europe,Madrid,,800,75,,5.5,,,,,,B1,,,,,,,,,,
Spain,E0055,University of Alicante,알리칸테대,자매대학,일반교환,europe,Alicante,,785,72,,5.5,,,,,,B1,,,,,,,,FALSE,,
Spain,E0056,University of Barcelona,바르셀로나대학교,자매대학,일반교환,europe,Barcelona,,,72,,5.5,,,,,,B1,,,,,,,,FALSE,FALSE,
Spain,E0057,University of Cantabria,칸타브리아대,자매대학,일반교환,europe,Cantabria,,800,75,,5.5,,,,,,B1,,,,,,,,,,
Spain,E0058,University of A Coruña,아코루나대,자매대학,일반교환,europe,A Coruna,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Spain,E0059,University of Jaén,하엔대,자매대학,일반교환,europe,Jaén,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Spain,E0060,University of Santiago de Compostela,산티아고콤포스텔라대,자매대학,일반교환,europe,Santiago de Compostela,,,,,,,,,,,B1,,,,,,스페인어 필수,,,,
Spain,E0061,University of Seville,세비야대,자매대학,일반교환,europe,Seville,,,75,,5.5,,,,,,C1,,,,,,,,FALSE,FALSE,
Spain,E0062,University of Vigo,비고대,자매대학,일반교환,europe,Vigo,,785,72,,5.5,,,,,,B1,,,,,,,,FALSE,,
Spain,E0063,University of Malaga,말라가대,자매대학,일반교환,europe,Malaga,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Spain,E0064,Universitat Abat Oliba CEU,아바올리바CEU대,자매대학,일반교환,europe,Malaga,,785,72,,5.5,,,,,,B1,,,,,,,,,,
Spain,E0065,University of Salamanca,살라망카대,자매대학,일반교환,europe,Madrid,,900,85,,6.5,,,,,,B1,,,,,,스페인어 필수,,,,
Spain,E0066,Complutense University of Madrid,마드리드콤플루텐세대,자매대학,일반교환,europe,Madrid,,,,,,,,,,,B1,,,,,,스페인어 필수,,,,
Spain,E0067,CEU Cardinal Herrera University,카르디날 에레라대,자매대학,일반교환,europe,Valencia,,800,75,,5.5,,,,,,B1,,,,,,,,FALSE,,
Ireland,E0068,Dublin Institute of Technology,DIT,자매대학,일반교환,europe,Dublin,,,80,,6,,,,,,,,,,TRUE,,,,,FALSE,
Azerbaijan,E0069,Azerbaijan University of Languages,아제르바이잔외국어대,자매대학,일반교환,asia,Baku,,850,80,,6,,,,,,,,,,,,,,FALSE,,
Azerbaijan,E0070,Khazar University,카자대,자매대학,일반교환,asia,Baku,,850,80,,6,,,,,,,,,,,,,,FALSE,,
Azerbaijan,E0071,ADA University,아다대학,자매대학,일반교환,asia,Baku,,,75,,6,,,,,,,,,,,,,,FALSE,FALSE,
England,E0072,University of Keele,킬대,자매대학,일반교환,europe,"Keele, Staffordshire",,,72,,5.5,,,,,,,,,,,,"* IELTS 영역별 5.5점 이상
 * TOEFL (IBT) listening 17, reading 18, speaking 20, writing 17 이상",,FALSE,FALSE,
England,E0073,SOAS Universeity of London,소아스대,자매대학,일반교환,europe,London,,,95,,6.5,,,,,,,,,,,,,,FALSE,FALSE,
England,E0074,University of Central Lancashire,센트럴랭캐셔대,자매대학,일반교환,europe,Preston,,,80,,6,,,,,,,,,,,,"* TOEFL iBT 각 영역별 20 이상
 * IELTS 각 영역별 5.5 이상",,FALSE,FALSE,
England,E0075,York St John University,요크세인트존대,자매대학,일반교환,europe,York,,,75,,6,,,,,,,,,,,,"IELTS 영역별 5.5이상
 TOEFL (Listening 17, Reading 18, Speaking 20, Writing 20이상)
 *BA(Hons) Media Production: Journalism: IELTS 7.5(영역별 7.5이상)",,FALSE,FALSE,
England,E0076,University of Worcester,우스터대,자매대학,일반교환,europe,Worcester,3.3,,76,,6,,,,,,,,,,TRUE,,"* TOEFL: Listening 17/Reading 18/Speaking 20/Writing 17
 * IELTS: 영역별 5.5이상",,,FALSE,
Estonia,E0077,University of Tartu,타루트대,자매대학,일반교환,europe,Tartu,,,75,,5.5,,,,,,,,,,,,,,FALSE,FALSE,
Austria,E0078,Vorarlberg University of Applied Sciences,FHV,자매대학,일반교환,europe,Vorarlberg,,,60,,6,,,,,,,,,,,,,,FALSE,FALSE,
Austria,E0079,"FHWIEN Der WKW 
 (University of Applied Sciences for Management & Communication)",FHWIEN,자매대학,일반교환,europe,Wien,,850,80,,6,,,,,,,,,,,,,,FALSE,,
Ukraine,E0080,Taras Shevchenko National University of Kyiv,키예프국립대,자매대학,일반교환,europe,Kyiv,,850,80,,6,,,,,,,,,,,,,,,,
Italy,E0081,Carlo Cattaneo University,카를로카타네오대학,자매대학,일반교환,europe,Castellanza,,800,75,,5.5,,,,,,,,,,,,,,FALSE,,
Italy,E0082,University of Salerno,살레르노대,자매대학,일반교환,europe,Salerno,,800,75,,5.5,,,,,,,,,,,,,,,,
Italy,E0083,University of Verona,베로나대,자매대학,일반교환,europe,Verona,,785,72,,5.5,,,,,,,B1,B1,,,,,,FALSE,,
Italy,E0084,University of Rome Tor Vergata,로마토르베가타대,자매대학,일반교환,europe,Rome,,750,70,,5,,,,,,,,,,,,,,FALSE,,
Italy,E0085,University of Siena,시에나대,자매대학,일반교환,europe,Siena,,785,72,,5.5,,,,,,,,,,,,,,,,
Italy,E0086,Sapienza University of Rome,사피엔자,자매대학,일반교환,europe,Rome,,,72,,5.5,,,,,,,,,,,,,,FALSE,FALSE,
Italy,E0087,University of Bologna,볼로냐대,자매대학,일반교환,europe,Bologna,,785,72,,5.5,,,,,,,,A2,,,,,,,,
Czech Republic,E0088,Metropolitan University Prague,프라하 메트로폴리탄대,자매대학,일반교환,europe,Prague,,800,75,,5.5,,,,,,,,,,,,,,,,
Czech Republic,E0089,Tomas Bata University,토마스바타대,자매대학,일반교환,europe,Zlin,,785,72,,5.5,,,,,,,,,,,,,,,,
Czech Republic,E0090,University of Hradec Králové,흐라데츠크랄로베대,자매대학,일반교환,europe,Hradec Králové,,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
Czech Republic,E0091,University of Ostrava,오스트라바대,자매대학,일반교환,europe,Ostrava,,785,72,,5.5,,,,,,,,,,,,,,,,
Czech Republic,E0092,Brno University of Technology,브르노공대,자매대학,일반교환,europe,Brno,,,80,,6,,,,,,,,,,,,,,FALSE,FALSE,
Czech Republic,E0093,Palacky University Olomouc,올로모우츠팔라츠키대,자매대학,일반교환,europe,Olomouc,3,,72,,,,,,,,,,,,,,* TOEFL만 인정(IELTS 제외),,,FALSE,
Croatia,E0094,Algebra University College,알제브라대,자매대학,일반교환,europe,Zagreb,,800,75,,5.5,,,,,,,,,,,,,,,,
Turkey,E0095,Ankara University,앙카라대,자매대학,일반교환,europe,Ankara,,850,80,,6,,,,,,,,,,,,,,FALSE,,
Turkey,E0096,Dicle University,디클대,자매대학,일반교환,europe,Diyarbakır,,,70,,6,,,,,,,,,,,,,,,,
Turkey,E0097,Erciyes University,에르지에스대,자매대학,일반교환,europe,Kayseri,,850,80,,6,,,,,,,,,,,,,,,,
Turkey,E0098,Istanbul Aydin University,이스탄불애이든대,자매대학,일반교환,europe,Istanbul,,850,80,,6,,,,,,,,,,,,,,FALSE,,
Turkey,E0099,Altınbaş University,알틴바쉬대,자매대학,일반교환,europe,Istanbul,,,70,,,,,,,,,,,,,,*IELTS 제외,,FALSE,FALSE,
Turkey,E0100,Marmara University,마르마라대,자매대학,일반교환,europe,Istanbul,,800,75,,5.5,,,,,,,,,,,,,,,,
Turkey,E0101,Sinop University,시놉대,자매대학,일반교환,europe,Sinop,,800,75,,5.5,,,,,,,,,,,,,,,,
Turkey,E0102,Antalya International University (Antalya Bilim University),안탈리아빌림대,자매대학,일반교환,europe,Antalya,,850,80,,6,,,,,,,,,,,,,,,,
Turkey,E0103,Kahramanmaras Sutcu Imam University,카흐라만마라스대,자매대학,일반교환,europe,Kahramanmaraş,,850,8,,6,,,,,,,,,,,,,,,,
Kyrgyzstan,E0104,Osh Technological University,오쉬기술대,자매대학,일반교환,asia,Osh,,750,70,530,5,,,,,,,,,,,,,,,,
Portugal,E0105,Polytechnical Institute of Coimbra,코임브라공대,자매대학,일반교환,europe,Coimbra,,700,60,,4.5,,,,,,,,,,,,,,,,
Poland,E0106,Kozminski University,코즈민스키대,자매대학,일반교환,europe,Warsaw,,,72,,5.5,,,,,,,,,,,,,,FALSE,FALSE,
Poland,E0107,University of Economics in Katowice,카토비체경제대,자매대학,일반교환,europe,Katowice,,785,72,,5.5,,,,,,,,,,,,,,,,
Poland,E0108,Academy of Business in Dabrowa Gornicza,돔브로바고르니차경영대,자매대학,일반교환,europe,Dąbrowa Górnicza,,700,60,,4.5,,,,,,,,,,,,,,,,
Poland,E0109,University of Warsaw,바르샤바대,자매대학,일반교환,europe,Warsaw,,,72,,5.5,,,,,,,,,,FALSE,,,,FALSE,FALSE,
France,E0110,Audencia Nantes School of Management,오덴시아낭뜨경영대,자매대학,일반교환,europe,Nantes,,850,80,,,,,,,,,,,,,,*IELTS 제외,,FALSE,,
France,E0111,Ecole de Management de Normandie,노르망디비즈니스스쿨,자매대학,일반교환,europe,Le Havre,,785,72,,5.5,,,,,,,,,,,,"영어 수업 희망 시: 영어 성적 필요
 프랑스어 수업 희망 시: 프랑스어 성적 필요",,FALSE,,
France,E0112,ESSCA School of Management,ESSCA,자매대학,일반교환,europe,Angers,,785,72,550,5.5,,,,,,,,,,,,,,,,
France,E0113,ESCE International Business School,ESCE,자매대학,일반교환,europe,Paris,,785,72,,5.5,,,,,B2,,,,,,,,,,,
France,E0114,GES Schools' Network,GES 네트워크,자매대학,일반교환,europe,Paris,,,75,,,,,,,,,,,,,,*IELTS 제외,,FALSE,FALSE,
France,E0115,Jean Monnet University,장모네대,자매대학,일반교환,europe,Saint-Étienne,,750,70,,5,,,,,B2,,,,,,,,,FALSE,,
France,E0116,Pôle Universitaire Léonard de Vinci,폴대학교레오나드르드빈치,자매대학,일반교환,europe,Paris,,800,75,,55,,,,,A2,,,,,,,,,,,
France,E0117,SciencesCom,시앙스컴,자매대학,일반교환,europe,Nantes,,850,80,,,,,,,,,,,,,,*IELTS 제외,,FALSE,,
France,E0118,Toulouse Business School,툴루즈경영대,자매대학,일반교환,europe,Toulouse,,,79,,6,,,,,B2,,,,,,,"- 영어: TOEFL 79 이상/IELTS 6.0 이상
 - 프랑스어: DELF B2 이상",,FALSE,FALSE,
France,E0119,University of Clermont-Ferrand,끌레르몽페랑대,자매대학,일반교환,europe,Auvergne,,800,75,,5.5,,,,,B2,,,,,,,,,FALSE,,
France,E0120,University of Burgundy,부르고뉴대,자매대학,일반교환,europe,Burgogne,,,72,,8.5,,,,,,,,,,,,,,FALSE,FALSE,
France,E0121,University of the Littoral Opal Coast,리토랄오팔코스트대,자매대학,일반교환,europe,Dunkerque,,785,72,,8.5,,,,,B2,,,,,,,,,FALSE,,
France,E0122,University Paris-Est Créteil,UPEC,자매대학,일반교환,europe,Paris,,785,72,,8.5,,,,,B2,,,,,,,,,FALSE,,
France,E0123,University Savoie Mont Blanc,사부아몽블랑대,자매대학,일반교환,europe,Chambéry,,800,75,,5.5,,,,,B1,,,,,,,"* 프랑스어 지원자의 경우 B1 소지 학생 또한 지원 가능하나, 학기 내 프랑스어 수업을 들어야함",,,,
France,E0124,Ecole de Management Bretagne Atlantique,EMBA,자매대학,일반교환,europe,Quimper,,700,,,5.5,,,,,,,,,,,,*TOEFL 제외,,,,
France,E0125,Université Bordeaux Montaigne,보르도몽테뉴대,자매대학,일반교환,europe,Bordeaux,,,,,,,,,,B2,,,,,,,,,,,
France,E0126,École pour l'informatique et les nouvelles technologies,EPITECH,자매대학,일반교환,europe,Paris,,,70,,5.5,,,,,A2,,,,,,,,,FALSE,FALSE,
France,E0127,L'école supérieure des professions immobilières,ESPI,자매대학,일반교환,europe,Paris,,,75,,5.5,,,,,A2,,,,,,,,,FALSE,FALSE,
