URL,Title
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NjM%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,오세아니아 호주 Charles Sturt University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NjQ%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 네덜란드 Radboud University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NjU%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 독일 Baden-Wuerttemberg Cooperative State University Heidenheim
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NjY%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 스페인 Polytechnic University of Catalonia
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=Njc%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 스페인 University of Barcelona
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=Njg%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 State University of New York at Stony Brook
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=Njk%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 스페인 University of Jaén
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NzA%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 독일 Augsburg University of Applied Sciences
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NzE%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 일본 Shinshu University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NzI%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 홍콩 The Hong Kong Institute of Education
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NzM%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,"북아메리카 미국 California State University, Monterey Bay"
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NzQ%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,중동 터키 Ankara University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NzU%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Dalian Nationalities University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=NzY%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 인도 University of Hyderabad
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=Nzc%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 프랑스 University of the Littoral Opal Coast
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=Nzg%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 독일 Dresden University of Applied Sciences
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=Nzk%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 스페인 University of Vigo
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODA%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 네덜란드 Tio University of Applied Science
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODE%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,[유럽]덴마크 University College South Denmark
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODI%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 일본 J.F.Oberlin University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODM%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 인도네시아 Petra Christian University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODQ%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 말레이시아 University of Malaya
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODU%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 홍콩 Lingnan University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODY%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 오스트리아 Vorarlberg University of Applied Sciences
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODc%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 캐나다 Vancouver Island University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODg%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 캐나다 McGill University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=ODk%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 대만 National Chung Cheng University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTA%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Jilin Normal University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTE%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 라트비아 Liepaja University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTI%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 프랑스 Jean Monnet University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTM%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Donghua University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTQ%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 프랑스 Toulouse Business School
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTU%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 이탈리아 Carlo Cattaneo University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTY%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 네덜란드 The Hague University of Applied Sciences
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTc%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 네덜란드 Hanze University of Applied Sciences
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTg%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 폴란드 University of Economics in Katowice
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=OTk%3D&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,유럽 독일 Regensburg University of Applied Sciences
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTAw&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 University of California at Riverside
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTAx&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Temple University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTAy&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Kennesaw State University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTAz&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Colorado State University - Pueblo
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA0&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Eastern University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA1&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 대만 National Central University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA2&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 대만 Providence University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA3&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 대만 Tunghai University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA4&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 일본 Meiji Gakuin University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTA5&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 일본 Meiji University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTEw&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 일본 Sapporo Gakuin University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTEx&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,[아시아]일본 Shinshu University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTEy&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 China Three Gorges University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTEz&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Nanjing University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE0&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Northeast Normal University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE1&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Shenyang Aerospace University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE2&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,아시아 중국 Tianjin Normal University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE3&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Emporia State University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE4&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Hawai`i Pacific University
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTE5&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,북아메리카 미국 Illinois Institute of Technology
https://study.ssu.ac.kr/community/uni_view.do?searchType=&siteCd=MDE%3D&sectionCd=&noticeCd=&contentYN=&searchVal=&boardCd=MDY%3D&gbCd=&targetCd=&cateSeq=&sbSeq=MTIw&listUrl=L2NvbW11bml0eS91bmlfbGlzdC5kbw%3D%3D&topYn=Tg%3D%3D,[북아메리카]미국 Hawai`i Pacific University _ 특별파견
